image_id,image_width,image_height,image_path,label_colored_path,label_layers_path,label_regions_path,label_surfaces_path,horizon_position
5000197,320,213,../dataset/deeplearning/images/5000197.jpg,../dataset/deeplearning/labels_colored/5000197.png,../dataset/deeplearning/labels_raw/5000197.layers.txt,../dataset/deeplearning/labels_raw/5000197.regions.txt,../dataset/deeplearning/labels_raw/5000197.surfaces.txt,91.701657
100787,320,237,../dataset/deeplearning/images/0100787.jpg,../dataset/deeplearning/labels_colored/0100787.png,../dataset/deeplearning/labels_raw/0100787.layers.txt,../dataset/deeplearning/labels_raw/0100787.regions.txt,../dataset/deeplearning/labels_raw/0100787.surfaces.txt,126.16208799999998
3002594,320,240,../dataset/deeplearning/images/3002594.jpg,../dataset/deeplearning/labels_colored/3002594.png,../dataset/deeplearning/labels_raw/3002594.layers.txt,../dataset/deeplearning/labels_raw/3002594.regions.txt,../dataset/deeplearning/labels_raw/3002594.surfaces.txt,30.334254
6000040,320,240,../dataset/deeplearning/images/6000040.jpg,../dataset/deeplearning/labels_colored/6000040.png,../dataset/deeplearning/labels_raw/6000040.layers.txt,../dataset/deeplearning/labels_raw/6000040.regions.txt,../dataset/deeplearning/labels_raw/6000040.surfaces.txt,102.697802
6000250,320,240,../dataset/deeplearning/images/6000250.jpg,../dataset/deeplearning/labels_colored/6000250.png,../dataset/deeplearning/labels_raw/6000250.layers.txt,../dataset/deeplearning/labels_raw/6000250.regions.txt,../dataset/deeplearning/labels_raw/6000250.surfaces.txt,144.367403
4069,320,240,../dataset/deeplearning/images/0004069.jpg,../dataset/deeplearning/labels_colored/0004069.png,../dataset/deeplearning/labels_raw/0004069.layers.txt,../dataset/deeplearning/labels_raw/0004069.regions.txt,../dataset/deeplearning/labels_raw/0004069.surfaces.txt,39.616022
5000129,320,213,../dataset/deeplearning/images/5000129.jpg,../dataset/deeplearning/labels_colored/5000129.png,../dataset/deeplearning/labels_raw/5000129.layers.txt,../dataset/deeplearning/labels_raw/5000129.regions.txt,../dataset/deeplearning/labels_raw/5000129.surfaces.txt,92.878453
3000676,214,320,../dataset/deeplearning/images/3000676.jpg,../dataset/deeplearning/labels_colored/3000676.png,../dataset/deeplearning/labels_raw/3000676.layers.txt,../dataset/deeplearning/labels_raw/3000676.regions.txt,../dataset/deeplearning/labels_raw/3000676.surfaces.txt,273.90659300000004
8001155,320,240,../dataset/deeplearning/images/8001155.jpg,../dataset/deeplearning/labels_colored/8001155.png,../dataset/deeplearning/labels_raw/8001155.layers.txt,../dataset/deeplearning/labels_raw/8001155.regions.txt,../dataset/deeplearning/labels_raw/8001155.surfaces.txt,81.598901
6000018,320,240,../dataset/deeplearning/images/6000018.jpg,../dataset/deeplearning/labels_colored/6000018.png,../dataset/deeplearning/labels_raw/6000018.layers.txt,../dataset/deeplearning/labels_raw/6000018.regions.txt,../dataset/deeplearning/labels_raw/6000018.surfaces.txt,111.928571
6000022,320,240,../dataset/deeplearning/images/6000022.jpg,../dataset/deeplearning/labels_colored/6000022.png,../dataset/deeplearning/labels_raw/6000022.layers.txt,../dataset/deeplearning/labels_raw/6000022.regions.txt,../dataset/deeplearning/labels_raw/6000022.surfaces.txt,139.063536
1000993,320,240,../dataset/deeplearning/images/1000993.jpg,../dataset/deeplearning/labels_colored/1000993.png,../dataset/deeplearning/labels_raw/1000993.layers.txt,../dataset/deeplearning/labels_raw/1000993.regions.txt,../dataset/deeplearning/labels_raw/1000993.surfaces.txt,128.455801
103740,320,240,../dataset/deeplearning/images/0103740.jpg,../dataset/deeplearning/labels_colored/0103740.png,../dataset/deeplearning/labels_raw/0103740.layers.txt,../dataset/deeplearning/labels_raw/0103740.regions.txt,../dataset/deeplearning/labels_raw/0103740.surfaces.txt,96.632597
100241,320,240,../dataset/deeplearning/images/0100241.jpg,../dataset/deeplearning/labels_colored/0100241.png,../dataset/deeplearning/labels_raw/0100241.layers.txt,../dataset/deeplearning/labels_raw/0100241.regions.txt,../dataset/deeplearning/labels_raw/0100241.surfaces.txt,109.892265
6000011,320,240,../dataset/deeplearning/images/6000011.jpg,../dataset/deeplearning/labels_colored/6000011.png,../dataset/deeplearning/labels_raw/6000011.layers.txt,../dataset/deeplearning/labels_raw/6000011.regions.txt,../dataset/deeplearning/labels_raw/6000011.surfaces.txt,103.262431
6000311,320,240,../dataset/deeplearning/images/6000311.jpg,../dataset/deeplearning/labels_colored/6000311.png,../dataset/deeplearning/labels_raw/6000311.layers.txt,../dataset/deeplearning/labels_raw/6000311.regions.txt,../dataset/deeplearning/labels_raw/6000311.surfaces.txt,71.439227
9003116,320,240,../dataset/deeplearning/images/9003116.jpg,../dataset/deeplearning/labels_colored/9003116.png,../dataset/deeplearning/labels_raw/9003116.layers.txt,../dataset/deeplearning/labels_raw/9003116.regions.txt,../dataset/deeplearning/labels_raw/9003116.surfaces.txt,131.708791
6000279,320,240,../dataset/deeplearning/images/6000279.jpg,../dataset/deeplearning/labels_colored/6000279.png,../dataset/deeplearning/labels_raw/6000279.layers.txt,../dataset/deeplearning/labels_raw/6000279.regions.txt,../dataset/deeplearning/labels_raw/6000279.surfaces.txt,134.346154
